fecha,total,acumulado
2017-12-11,2,1441
2017-12-13,4,1445
2017-12-22,2,1447
2017-12-23,10,1457
2017-12-25,3,1460
2018-01-03,1,1461
2018-01-11,1,1462
2018-01-13,1,1463
2018-01-17,1,1464
2018-01-18,6,1470
2018-01-19,1,1471
2018-01-21,2,1473
2018-01-25,6,1479
2018-01-31,11,1490
2018-02-02,7,1497
2018-02-22,1,1498
2018-02-26,1,1499
2018-03-05,1,1500
2018-03-06,2,1502
2018-03-11,1,1503
2018-03-12,50,1553
2018-03-17,1,1554
2018-03-29,3,1557
2018-03-30,13,1570
2018-04-06,1,1571
2018-04-12,2,1573
2018-04-14,1,1574
2018-04-18,2,1576
2018-04-22,1,1577
2018-04-25,1,1578
2018-04-26,5,1583
2018-05-04,2,1585
2018-05-06,1,1586
2018-05-22,7,1593
2018-06-03,1,1594
2018-06-10,1,1595
2018-06-11,1,1596
2018-06-18,1,1597
2018-06-20,1,1598
2018-06-27,2,1600
2018-07-08,1,1601
2018-07-09,1,1602
2018-07-10,1,1603
2018-07-12,9,1612
2018-07-13,2,1614
2018-07-16,6,1620
2018-07-22,1,1621
2018-07-25,14,1635
2018-07-29,2,1637
2018-07-31,1,1638
2018-08-01,2,1640
2018-08-05,1,1641
2018-08-10,1,1642
2018-08-15,2,1644
2018-08-22,1,1645
2018-08-24,2,1647
2018-09-03,4,1651
2018-09-07,3,1654
2018-09-15,4,1658
2018-09-16,2,1660
2018-09-19,2,1662
2018-09-25,2,1664
2018-09-29,1,1665
2018-10-04,4,1669
2018-10-08,2,1671
2018-10-09,1,1672
2018-10-11,5,1677
2018-10-15,2,1679
2018-10-17,1,1680
2018-10-24,3,1683
2018-10-28,1,1684
2018-10-29,12,1696
2018-10-30,3,1699
2018-11-01,26,1725
2018-11-04,1,1726
2018-11-05,1,1727
2018-11-11,1,1728
2018-11-14,1,1729
2018-11-15,1,1730
2018-11-18,2,1732
2018-11-19,3,1735
2018-11-21,1,1736
2018-11-27,1,1737
2018-11-29,20,1757
2018-12-01,2,1759
2018-12-02,2,1761
2018-12-06,1,1762
2018-12-16,9,1771
2018-12-17,2,1773
2018-12-19,2,1775
2018-12-20,1,1776
2018-12-21,1,1777
2018-12-23,1,1778
2018-12-25,2,1780
2018-12-27,25,1805
2018-12-29,7,1812
2019-01-04,24,1836
2019-01-17,1,1837
2019-01-18,4,1841
2019-01-19,1,1842
2019-01-21,4,1846
2019-01-31,4,1850
2019-02-13,1,1851
2019-02-21,2,1853
2019-02-27,6,1859
2019-03-07,1,1860
2019-03-11,4,1864
2019-03-16,1,1865
2019-03-22,1,1866
2019-03-29,1,1867
2019-03-31,1,1868
2019-04-04,4,1872
2019-04-10,1,1873
2019-04-20,1,1874
2019-04-29,2,1876
2019-05-02,2,1878
2019-05-05,2,1880
2019-05-06,7,1887
2019-05-07,25,1912
2019-05-08,1,1913
2019-05-11,1,1914
2019-05-17,1,1915
2019-05-22,1,1916
2019-05-24,20,1936
2019-05-27,1,1937
2019-05-30,1,1938
2019-06-08,3,1941
2019-06-12,3,1944
2019-06-17,4,1948
2019-06-20,2,1950
2019-06-24,1,1951
2019-06-25,20,1971
2019-06-27,1,1972
2019-06-29,6,1978
2019-07-12,7,1985
2019-07-25,1,1986
2019-07-26,3,1989
2019-07-30,1,1990
2019-08-08,3,1993
2019-08-17,3,1996
2019-08-19,4,2000
2019-08-22,1,2001
2019-08-30,3,2004
2019-09-08,2,2006
2019-09-10,2,2008
2019-09-14,1,2009
2019-09-19,5,2014
2019-09-22,2,2016
2019-09-25,1,2017
2019-09-26,1,2018
2019-10-01,1,2019
2019-10-07,4,2023
2019-10-17,1,2024
2019-10-18,1,2025
2019-11-01,10,2035
2019-11-03,1,2036
2019-11-04,1,2037
2019-11-10,1,2038
2019-11-11,59,2097
2019-11-12,11,2108
2019-11-13,6,2114
2019-11-17,2,2116
2019-11-20,1,2117
2019-11-23,2,2119
2019-11-25,2,2121
2019-11-26,2,2123
2019-11-27,13,2136
2019-11-28,1,2137
2019-12-06,3,2140
2019-12-07,1,2141
2019-12-09,1,2142
2019-12-16,2,2144
2019-12-17,1,2145
2019-12-18,5,2150
2019-12-20,2,2152
2019-12-21,3,2155
2019-12-24,1,2156
2019-12-26,3,2159
2019-12-27,1,2160
2020-01-15,4,2164
2020-01-16,3,2167
2020-01-28,1,2168
2020-01-29,60,2228
2020-01-31,9,2237
2020-02-09,50,2287
2020-02-10,1,2288
2020-02-12,1,2289
2020-02-16,1,2290
2020-02-17,59,2349
2020-02-18,2,2351
2020-02-19,9,2360
2020-02-20,1,2361
2020-03-06,59,2420
2020-03-07,1,2421
2020-03-09,60,2481
2020-03-10,9,2490
2020-03-12,4,2494
2020-03-18,58,2552
2020-03-21,34,2586
2020-03-24,3,2589
2020-03-26,1,2590
2020-04-07,1,2591
2020-04-21,1,2592
2020-04-22,60,2652
2020-04-28,2,2654
2020-05-11,4,2658
2020-05-17,2,2660
2020-05-22,1,2661
2020-05-29,2,2663
2020-05-31,2,2665
2020-06-02,34,2699
2020-06-07,1,2700
2020-06-08,2,2702
2020-06-10,60,2762
2020-06-11,10,2772
2020-06-12,1,2773
2020-06-13,66,2839
2020-06-17,4,2843
2020-06-23,2,2845
2020-06-30,1,2846
2020-07-01,59,2905
2020-07-08,59,2964
2020-07-09,1,2965
2020-07-11,10,2975
2020-07-13,2,2977
2020-07-15,4,2981
